CO_NCM,NO_NCM_POR,NO_NCM_ING,NO_NCM_ESP,NO_NCM_FRA
91021290,"Outros relógios de pulso, funcionando eletricamente, de mostrador exclusivamente optoeletrônico","Oth.wristwatches,plast.case,elect.oper.opto-elec.displ","Los dem.relojes de pulsera, eléctr.ind.optoelectr.","Autres montres-bracelets, fonctionnant électriquement, affichage optoélectronique"
91021900,"Outros relógios de pulso, funcionamento elétrico","Other wristwatches, electrically operated","Los demás relojes de pulso, eléctrico","Autres montres-bracelets, fonctionnement électrique"
91022100,"Relógio de pulso, de corda automático","Wristwatches, with automatic winding","Reloj de pulsera, automático","Montre-bracelet, corde automatique"
91022900,Outros relógios de pulso,Other wristwatches,Los demás relojes de pulsera,Autres montres de poche
91029100,"Relógio de bolso, semelhantes, funcionament elétrico","Pocket-watches,electrically operated and other watches","Reloje de bolsillo, simil.eléctr.","Les montres de poche et similaires, l'opération électrique"
91029900,"Outros relógios de bolso, semelhantes",Other pocket-watches and other watches,"Los demás relojes de bolsillo, similares","Autres montres de poche, semblable"
91031000,"Despertadores e outros relógios, com maquinismo de pequeno volume, funcionando eletricamente",Clocks with watch movements,"Despertadores y dem.relojes, mecan.peq.vol.eléctr.","Réveils et montres, avec de machines de petit taille, fonctionnant électriquement"
91039000,"Despertadores e outros relógios, com maquinismo de pequeno volume, funcionamento não elétrico",Oth.colocks with watch movements,"Los dem.despertadores/demás relojes, mecan.peq.vol.","Réveils et montres, avec demachines de petit taille, le fonctionnement non-électrique"
91040000,"Relógios para painéis de instrumentos e relógios semelhantes, para automóveis, veículos aéreos, embarcações ou para outros veículos",Instrum.panel clocks f/motor vehicles and oth.vehicles,Relojes de tablero de instr.p/automóviles y ots.vehícs,"Montres pour les panneaux d'instruments et des montres similaires, pour automobiles, avions, bateaux ou autres véhicules"
91051100,"Despertadores funcionando eletricamente, exceto os com maquinismo de pequeno volume","Oth.clocks,electrically operat.exc.watch movements","Los dem.despertadores, eléctr.exc.mecan.peq.vol.","Réveille-matin, fonctionnant électriquement, l'exclusion de ceux avec des mécanismes de petite taille"
91051900,"Despertadores funcionando de outro modo, exceto os com maquinismo de pequeno volume","Other clocks,except watch movements",Los demás despertadores exc.mecan.peq.vol.,"Réveille-matin fonctionnant autrement, l'exclusion de ceux avec des mécanismes de petite taille"
91052100,"Relógios de parede funcionado eletricamente, exceto os com maquinismo de pequeno volume","Wall clocks,electrically operat.exc.watch movements","Relojes de pared, eléctr.exc.mecan.peq.vol.","Horloges murales fonctionnant électriquement, l'exclusion de ceux avec des machinismes de petite taille"
91052900,"Relógios de parede funcionado de outro modo, exceto os com maquinismo de pequeno volume","Oth.wall clocks,electric.operat.exc.watch movements","Las dem.péndulas y relojes de pared, exc.mecan.peq.vol","Horloges murales fonctionnant autrement, l'exclusion de ceux avec des machinismes de petite taille"
91059100,"Outros artigos de relojoaria, funcionando eletricamente, exceto os com maquinismo de pequeno volume",Ot.watchmak.appar.electr.operat.exc.watch movements,"Los dem.relojes, eléctr.exc.mecan.peq.vol.","Autres horloges et montres, fonctionnant électriquement, l'exclusion de ceux avec des machinismes de petite taille"
91059900,"Outros aparelhos de relojoaria, exceto os com maquinismo de pequeno volume",Oth.watchmak.apparatus exc.watch movements,"Los demás relojes, exc.c/mecanismo de peq.vol.","Autres horloges et montres, l'exclusion de ceux avec des machinismes de petite taille"
91061000,Relógios de ponto; relógios datadores e contadores de horas,Time-registers and time-recorders,"Registradores asist, registr.fechadores y reg.contadores",Horloges de fréquence de travail; horloges de pointage et compteur de heures
91062000,Parquímetros,Parking meters,Parquímetros,Parcomètres
91069000,"Outros aparelhos de controle de tempo e contadores de tempo, com maquinismo de aparelhos de relojoaria ou com motor síncrono","Time of day recording appar.and appar.f/measuring,etc.","Los dem.aparatos de control/contadores de tiempo, etc","Autres dispositifs de contrôle/compteurs de temps, etc."
91070010,Interruptores horários,Time switches,Interruptores horarios,Interrupteur horaire
91070090,"Outros aparelhos para acionar mecanismo em tempo determinado, etc","Oth.apparatus f/working mechan.in certain time,etc","Los dem.apars.q.perm.accionar disp.en un mom.dado, etc","D'autres dispositifs pour déclencher le mécanisme à un moment donné, etc."
91081110,"Maquinismos de pequeno volume para relógios, completos e montados, funcionando eletricamente, de mostrador exclusivamente mecânico ou com um dispositivo que permita incorporar um mostrador mecânico, para relógios das posições 91.01 ou 91.02","Watch movem.f/wristwatches,elect.operat.mech.display","Mecanismo montado de reloj pulsera, eléctr.ind.mecán","Machinismes de petit volume pour les montres, complets et assemblés, fonctionnant électriquement, à affichage mécanique seulement ou avec un dispositif d'incorporer un affichage mécanique pour les montres du n ° 9101 ou 91,02"
91081190,"Maquinismo montado para outros relógios, etc",Watch movem.f/oth.watch movements elect.oper.m.disp.,"Mecanismo montado p/dem.relojes, peq.vol.eléct.ind.mecán","Machinismes montée à d'autres montres, etc."
91081200,"Maquinismos de pequeno volume para relógios, completos e montados, funcionando eletricamente, de mostrador exclusivamente optoeletrônico, para relógios das posições 91.01 ou 91.02",Watch movem.f/oth.wristw.electr.operat.opto-elect.disp.,"Mecanismo montado p/reloj pulsera, eléctr.ind.optoelectr","Machinismes de petit volume pour les montres, complets et assemblés, fonctionnant électriquement, l'ndicateur optoélectronique, pour les montres du n ° 91.01 ou 91.02"
91081900,"Outros maquinismos de pequeno volume para relógios, completos e montados, funcionando eletricamente",Watch movem.f/ot.watch movements elect.oper.op.elec.dis,"Mecanismo montado p/dem.reloj, peq.vol.eléctr.ind.optoel","Autres machinismes de petite taille de montres, complets et assemblés, fonctionnant électriquement"
91082000,"Maquinismo montado para relógio de pequeno volume, de corda automática",Watch movem.f/watch movements with autom.winding,"Mecanismo montado p/reloj, peq.vol., automáticos","Machines monté pour petite montre de volume, à corde automatique"
91089000,"Outros maquinismos de pequeno volume para relógios, montados","Other watch movements for watches,assembled","Los dem.mecanismos de peq.vol.p/relojes, montados","Autres machinismes petit volume pour les montres, monté"
91089100,"Outros maquinismos montados, medida <= 33,8 mm, para outros relógios","Oth.watch movements meas.<=33.8mm,f/oth.watches","Los dem.mecanismos montados q.mid<=33.8mm, p/dem.relojes","Autres machines assemblé, mesurant <= 33,8 mm, pour d'autres horloges"
91089900,"Outros maquinismos montados de pequeno volume, completo, para outros relógios","Oth.watch movements, assembled for other watches",Los dem.mecanismos montados peq.vol.compl.p/dem.relojes,"Autres machinismes montés petit volume, complète, pour d'autres horloges"
91091000,"Maquinismos de artigos de relojoaria, completos e montados, exceto de pequeno volume, funcionando eletricamente","Machinery of clocks and watches, electrically operated","Maquinaria de relojes, accionamiento eléctrico","Machinismes de l'horlogerie, complets et assemblés, à l'exclusion petit volume, fonctionnant électriquement"
91091100,"Maquinismo montado, exceto de pequeno volume, para despertador, funcionamento elétrico","Clock movements, assembled f/of alarm clocks,oper.elect.","Mecanismo montado exc.peq.vol.p/despertador, eléctr","Machinisms montés, autre que petit volume, pour le réveille-matin, le fonctionnement électrique"
91091900,"Maquinismo montado, exceto pequeno volume, para outros relógios, funcionamento elétrico","Clock movements, assembled f/oth.watches,oper.elect.",Mecanismo montado exc.peq.vol.p/dem.reloj.eléctr.,"Machinisms montés, sauf petit volume, à d'autres montres, fonctionnement électrique"
91099000,"Maquinismos de artigos de relojoaria, completos e montados, exceto de pequeno volume, funcionando de outro modo","Clock movements, assembled f/oth.watch apparatus",Mecanismo montado exc.peq.vol.p/dem.mecan.relojería,"Machinismes de l'horlogerie, complets et assemblés, à l'exclusion petit volume, fonctionnant autrement"
91101110,"Maquinismos completos, de pequeno volume, não montados ou parcialmente montados (chablons), para relógios das posições 91.01 ou 91.02 (relógios de pulso)","Complete watch, unassembled,w ristwatches,pocket,etc","Mecanismo complet.s/montar, p/reloj pulsera, bolsillo, etc","Machinismes complets, petit volume, non assemblés ou partiellement assemblés (chablons), pour les montres du n° 91.01 ou 91.02 (montre-bracelet)"
91101190,"Maquinismos completos, de pequeno volume, não montados ou parcialmente montados (chablons), para outros relógios","Complete watch unassembled,f/oth.watch movements","Mecanismo compl.s/montar, p/dem.relojes de peq.vol.","Machinismes complets, petit volume, non assemblés ou partiellement assemblés (chablons), pour d'autres horloges"
91101200,"Maquinismos incompletos, montados, de pequeno volume",Incomplete movements assemb.f/watch movements appar.,"Mecanismo incompl.montado, p/mecan.relojería peq.vol.","Mécanismes incomplets, assemblés, petit volume"
91101900,Esboços de maquinismos para aparelhos de relojoaria de pequeno volume,"Rough movements,f/watch movements apparatus","Mecanismos ""en blanco""p/mecan.relojeráa de peq.vol.",Ébauche de machinismes pour les petites horloges et montres volumes
91109000,"Maquinismo não montado completo para aparelhos de relojoaria, exceto de pequeno volume",Complete watch unassembled f/watch movements appar.,Mecanismo s/montar compl.p/mecan.relojer.exc.peq.vol,"Machinisme non montée, complète, pour les montres, autres que petit volume"
91111000,"Caixas de relógios, de metais preciosos ou de metais folheados ou chapeados de metais preciosos (plaquê)","Cases f/wristwatches/pocket,of precious metal,etc.","Cajas de reloj de pulsera/bolsillo, de met.precioso, etc","Boîtes de montre, en métaux précieux ou de doublés de métaux précieux (plaqué)"
91112010,"Caixas para relógios de metais comuns, mesmo dourados ou prateados, de latão, em esboço","Cases f/wristwatches/pocket,alloy copp.and zinc,sketch","Cajas de reloj de pulsera/bolsillo, de latón, en esbozos","Boîtes de montre en métal, que ce soit l'or ou de l'argent, laiton, dans les grandes lignes"
91112090,"Caixas para relógio de pulso/bolso, de outros metais comuns","Cases f/wristwatches/pocket,of other base metal","Cajas de reloj de pulsera/bolsillo, de dem.met.comunes","Boîtes de montre-bracelet/de poche, avec d'autres métaux de base"
91118000,"Caixas para relógio de pulso/bolso, de outras matérias","Cases f/wristwatches/pocket,of other material","Cajas de reloj de pulsera/bolsillo, de demás materias","Boîtes de montre-bracelet/de poche, d'autres matières"
91119010,"Fundos para caixa de relógio de pulso/bolso, de metal comum","Bottoms f/wristwatches/pocket,of base metal","Fondos p/caja de reloj de pulsera/bolsillo, de met.común",D'autres parties de boîtes pour montre-bracelet/de poche
91119090,Outras partes para caixa de relógio de pulso/bolso,Other parts f/wristwatches/pocket cases,Las dem.partes p/caja de reloj de pulsera/bolsillo,D'autres parties de boîtes de montre-bracelet/de poche
91121000,"Caixas e semelhantes para aparelhos de relojoaria, de metal","Cases and similar for watch apparatus,of metal","Cajas y simil.p/mecanismos de relojería, de metal","Boîtes et similaire à montres, métal"
91122000,Caixas e semelhantes de apars.de relojoaria,Cases and similar of watch apparatus,Cajas y similares de mecan.de relojería,"Boîtes et similaires, horloges et montres"
91128000,"Caixas e semelhantes para aparelhos de relojoaria, de outras matérias","Cases and similar f/watch apparatus,of other material","Cajas y simil.p/mecan.de relojería, de dem.materias","Boîtes et silimaires pour montres, d'autres matériaux"
91129000,Partes para caixas e semelhantes para aparelhos de relojoaria,Parts f/cases and similar f/watch apparatus,Partes p/cajas y simil.p/aparatos de relojería,Pièces de boîtes et similaire à horlogerie
91131000,"Pulseiras para relógios, de metal precioso, folheado, etc.","Bracelets f/watches,of prec.metal,veneer,etc","Pulseras p/reloj, de metal precioso, chapado, etc","Bracelets pour montres, métaux précieux, placage, etc."
91132000,"Pulseiras para relógios, de metal comum","Bracelets for watches, of base metal","Pulseras para reloj, de metal común","Bracelets pour montres, métal commum"
91139000,"Pulseiras para relógios, de outras matérias, e partes para pulseiras","Bracelets f/watches,of oth.material and parts thereof","Pulseras p/reloj, de dem.mater.y partes p/pulseras","Bracelets pour montres, d'autres matériaux, et de pièces pour bracelets"
91141000,"Molas, incluindo as espirais, para artigos de relojoaria","Springs f/watch apparatus,incl.hair-springs","Muelles p/aparatos de relojería, incl.las espirales","Ressorts, y compris des spirales, pour l'horlogerie"
91142000,Pedras para artigos de relojoaria,Jewels for watch apparatus,Piedras para aparatos de relojería,Pierres pour l'horlogerie
91143000,Quadrantes para artigos de relojoaria,Dials for watch apparatus,Cuadrantes para aparatos de relojería,Quadrants pour horloges et montres
91144000,Platinas e pontes para artigos de relojoaria,Plates and bridges for watch apparatus,Platinas y puentes para aparatos de relojería,Platines et ponts d'horlogerie
91149010,Coroas para artigos de relojoaria,Crowns for watch apparatus,Coronas para aparatos de relojería,Couronnes pour l'horlogerie
91149020,Ponteiros para artigos de relojoaria,Hands for watch apparatus,Agujas para aparatos de relojería,"Pointeurs, pour l'horlogerie"
91149030,Hastes para artigos de relojoaria,Stems for watch apparatus,Tijas para aparatos de relojería,Tiges à d'horlogerie
91149040,Básculas para aparelhos de relojoaria,Yokes for watch apparatus,Básculas para aparatos de relojería,Les balances pour les horloges et montres
91149050,Eixos e pinhões para aparelhos de relojoaria,Balance staffs and pinions f/watch apparatus,Ejes y piñones para aparatos de relojería,Arbres et pignons d'horlogerie
91149060,Rodas para aparelhos de relojoaria,Wheels fpr watch apparatus,Ruedas para aparatos de relojería,Roues pour horloges et montres
91149070,Rotores para aparelhos de relojoaria,Rotors for watch apparatus,Rotores para aparatos de relojería,Rotors pour horloges et montres
91149090,Outras partes e acessórios para aparelhos de relojoaria,Other parts and access.f/watch apparatus,Las demás partes y acces.p/aparatos de relojería,Pièces et accessoires pour des horloges et des montres
92011000,Pianos verticais,Upright pianos,Pianos verticales,Pianos droits
92012000,Pianos de cauda,Grand pianos,Pianos de cola,Les pianos à queue
92019000,"Outros pianos, cravos e outros instrumentos de cordas, com teclado","Oth.pianos,harpsich.and oth.keyboard stringed instrum.","Los dem.pianos, clavecines y dem.instr.de cuerdas, c/tecl","Autres pianos, clavecins et autres instruments à cordes avec clavier"
92021000,"Instrumentos musicais de cordas, tocados com o auxílio de um arco","Other string musical instruments,played with a bow","Instrumentos musicales de cuerda, de arco","Instruments de musique à cordes, joué avec l'aide de l'arc"
92029000,Outros instrumentos musicais de cordas,Other string musical instruments,Los demás instrumentos musicales de cuerda,Autres instruments de musique à cordes
92030000,"Órgãos de tubos e de teclado, harmônios e instrumentos semelhantes","Keyboard pipe organs,harmon.and similar keyboard instr.","Órganos de tubos y teclado, armonios y instrum.simil.","Orgue et le clavier, harmoniums et instruments similaires"
92041000,Acordeões e instrumentos semelhantes,Accordions and similar instruments,Acordeones y instrumentos similares,Accordéons et instruments similaires
92042000,Harmônicas (gaitas) de boca,Mouth harmonics,Armónicas,Harmonica de bouche
92051000,"Instrumentos musicais de sopro denominados ""metais""",Brass-wind musical instruments,"Instrumentos musicales de viento llamados ""metales""","Instruments de musique à vent appelés ""métaux"""
92059000,Outros instrumentos musicais de sopro,Other wind musical instruments,Los demás instrumentos musicales de viento,Autres instruments de musique à vent
92060000,"Instrumentos musicais de percussão (por exemplo, tambores, caixas, xilofones, pratos, castanholas, maracás)","Percussion musical instruments(drums,etc.)","Instrumentos musicales de percusión (tambores, etc)","Instruments de musique de percussion (par exemple, des tambours, xylophones, cymbales, castagnettes, maracas)"
92071010,Sintetizadores (instrumentos musicais de teclado),Synthesizers (musical instruments of keyboard),Sintetizadores (instrumentos musicales de teclado),Synthétiseurs (instruments de musique de clavier)
92071090,Outros instrumentos musicais de teclado,Other keyboard musical instruments,Los demás instrumentos musicales de teclado,Autres instruments de musique à clavier
92079010,Guitarras e contrabaixos,Guitar and bass guitar,Guitarra y contrabajo,Guitare et basse
92079090,Outros instrumentos musicais com som amplificado por meio elétrico,"Musical instruments with sound amplified,electrically",Los dem.instr.musicales en los q.sonido amplif.eléctr.,"Autres instruments de musique, des sons amplifiés par des moyens électriques"
92081000,Caixas de música,Music boxes,Cajas de música,Boîtes à musique
92089000,Órgãos mecânicos de feira e outros instrumentos musicais,Fairground organs and other musical instruments,Orquestriones y dem.instrumentos musicales,Organes de forains et autres instruments de musique
92091000,Metrônomos e diapasões para instrumentos musicais,"Metronomes,tuning forks and pitc.pip.f/musical instrum.",Metrónomos y diapasones p/instrumentos musicales,Métronomes et diapasons pour instruments de musique
92092000,Mecanismo de caixas de música,Mechanisms for musical boxes,Mecanismo de cajas de música,Mécanisme de boîtes à musique
92093000,Cordas para instrumentos musicais,Strings for musical instruments,Cuerdas para instrumentos musicales,Cordes pour instruments de musique
92099100,Partes e acessórios de pianos,Parts and accessories for pianos,Partes y accesorios de pianos,Pièces et accessoires de pianos
92099200,Partes e acessórios de instrumentos musicais da posição 92.02 (instrumentos musicais de cordas),Parts and access for string musical instruments,Partes y acces.p/instrumentos musicales de cuerdas,Pièces et accessoires p/instruments de musique à cordes
92099300,"Partes e acessórios para órgãos de tubos e de teclados, etc.","Parts and access f/organs of tubes and of keyboards,etc","Partes y acces.p/órganos de tubos y teclados, etc","Pièces et accessoires pour tuyaux et claviers organes, etc."
92099400,Partes e acessórios de instrumentos musicais da posição 92.07 (instrumentos musicais com som amplificado por meio elétrico),Parts and acces.f/musical instr.with sound ampl.elect.,Partes y acces.de instr.music.en q.sonido amplif.eléct.,"Pièces et accessoires pour instruments de musique, son amplifié par des moyens électriques"
92099900,Partes e acessórios para outros instrumentos musicais,Parts and access. for other musical instruments,Partes y acces.p/demás instrumentos musicales,Pièces et accessoires d'autres instruments de musique
93010000,"Armas de guerra, exceto revólveres, pistolas e armas brancas","Military weapons,exc.revolvers,pitols and the arms","Armas de guerra, exc.revólveres, pistolas y armas blancas","Armes de guerre (autres que les revolvers, pistolets et armes blanches)"
93011000,"Peças de artilharia (por exemplo, canhões, obuses e morteiros)","Artillery weapons (eg guns, howitzers, mortars)","Piezas de artillería (cañones, obuses, morteros)","Pièces d'artillerie (par exemple: canons, obusiers, mortiers)"
93011100,"Peças de artilharia, autopropulsadas","Artillery weapons, self-propelled","Piezas de artillería, autopropulsadas",Pièces d'artillerie autopropulsés
93011900,Outras peças de artilharia,Other artillery weapons,Las demás piezas de artillería,Autres pièces d'artillerie
93012000,Lança-mísseis; lança-chamas; lança-granadas; lança-torpedos e lançadores semelhantes,"Rocket launchers,flame-throwers,grenade launcher,etc","Lanzacohetes, lanzallamas, lanzagranada, etc","Lance-roquettes, lance-flammes, lance-grenades, etc."
93019000,"Outras armas de guerra, exceto revólveres, pistolas e armas brancas.",Other military weapons,Las demás armas de guerra,D'autres armes de guerre
93020000,"Revólveres e pistolas, exceto os das posições 93.03 ou 93.04",Other revolvers and pistols,Los demás revólveres y pistolas,"Revolvers et pistolets, autres que ceux du n ° 93.03 ou 93.04"
93031000,Armas de fogo carregáveis exclusivamente pela boca,Muzzle-loading firearms,Armas de avancarga,Armes à feu avec chargement exclusivement par la bouche
93032000,"Outras espingardas e carabinas de caça ou de tiro ao alvo, com pelo menos um cano liso","Sporting/hunting/target-shooting shotguns,smoot.barr>=1","Armas largas de caza/tiro deportivo, cañón lisa>=1","Fusils et carabines de chasse ou de tir à la cible, tube lisse> = 1"
93033000,Outras espingardas e carabinas de caça ou de tiro ao alvo,Other sporting/hunting/target-shooting shotguns,Las demás armas largas de caza/tiro deportivo,Autres fusils et carabines de chasse et de tir à la cible
93039000,"Outras armas de fogo que utilizam deflagração da pólvora, etc.","Oth.firearms which oper.by firing of an expl.charge,etc","Las dem.armas de fuego q.util.deflagr.de pólvora, etc","Autres armes à feu à l'aide de tirs de la poudre à canon, etc."
93040000,"Outras armas (por exemplo, espingardas, carabinas e pistolas, de mola, de ar comprimido ou de gás, cassetetes), exceto as da posição 93.07",Oth.arms (shotguns/carbines/pistols /truncheons),Las dem.armas (armas largas/carabinas/pistolas/porras),"Autres armes (par exemple, des fusils de chasse, fusils et pistolets, le ressorts, l'air ou de gaz, matraques), à l'exclusion de celles du no 93.07"
93051000,Partes e acessórios de revólveres ou pistolas,Parts and accessories for revolvers/pistols,Partes y acces.p/revólveres/pistolas,Pièces et accessoires pour revolvers/pistolets
93052000,Partes e acessórios de espingardas ou carabinas da posição 93.03,Parts and accessories of shotguns or rifles (9303),Partes y accesorios de escopetas o rifles de 9303,Parties et accessoires de fusils ou carabines du n ° 9303
93052100,"Partes e acessórios para espingarda/carabina de fogo, cano liso","Parts and acces.f/shotguns/carbines,smooth barrel","Partes y acces.p/armas larga/rifle caza, can.ánima lisa","Pièces et accessoires pour fusil de chasse, canon lisse"
93052900,Partes e acessórios para outras espingardas/carabinas de fogo,Parts and acces.f/other shotguns/carbines,Partes y acces.p/demás armas larga/rifles caza,Pièces et accessoires d'autres fusils de chasse/fusils de feu
93059010,Partes e acessórios para armas de guerra,Parts and accessories for military weapons,Partes y accesorios para armas de guerra,Pièces et accessoires pour les armes de guerre
93059090,Partes e acessórios para outras armas,Parts and accessories for other arms,Partes y accesorios para demás armas,Pièces et accessoires d'autres armes
93059100,Partes e acessórios de armas de guerra da posição 93.01,"Parts/accessorries of military weapons,etc","Partes/accesorios de armas de guerra, etc","Pièces/accessoires pour armes de guerre, etc."
93059900,Partes e acessórios de outras armas,Parts/accessories of other arms,Partes/accesorios de demás armas,Pièces/accessoires d'autres armes
93061000,Cartuchos para pistolas de rebitar/embolo para abater animais,Cartridges for riveting/captive-bolt humane killers,Cartuchos p/pistolas de remachar/usos simil/de matarife,Cartouches pour pistolets de rivetage/plongeur de tuer des animaux
93062100,Cartuchos para espingardas ou carabinas de cano liso,Cartridges shotguns/carbines of smooth barrel,Cartuchos p/escopetas/carabinas c/cañón ánima lisa,Cartouches pour fusils de chasse/fusils à canon lisse
93062900,"Chumbos para carabinas de ar comprimido, partes para cartuchos","Lead f/carbines of compressed air,parts f/cartridges","Balines p/armas de aire comprimido, partes p/cartuchos","Plomb pour la carabine à air comprimé, des pièces pour cartouches"
93063000,Outros cartuchos e suas partes,Other cartridges and parts thereof,Los demás cartuchos y sus partes,D'autres cartouches et pièces
93069000,"Bombas, granadas, outras munições e projéteis e suas partes","Bombs,grenades,oth.munitions of war and parts thereof","Bombas, granadas, dem.municiones y proyectiles y sus part","Bombes, grenades, autres munitions et projectiles, et pièces"
93070000,"Sabres, espadas, baionetas, lanças e outras armas brancas, suas partes e bainhas","Swords,cutlasses,bayonets,oth.arms and parts thereof","Sables, espadas, bayonetas, dem.armas blancas, sus partes","Sabres, épées, baïonnettes, autres armes blanches, et leurs pièces"
94011010,"Assentos ejetáveis, dos tipos utilizados em veículos aéreos","Ejector seats, for aircraft","Asientos expulsables, para aeronaves","Les sièges éjectables, des types utilisés sur des aéronefs"
94011090,"Assentos dos tipos utilizados em veículos aéreos, exceto ejetáveis","Other seats for aircraft, except ejector seats","Los demás asientos p/aeronaves, exc.expulsables","Les autres sièges d'avions, à l'exception éjection"
94012000,Assentos dos tipos utilizados em veículos automóveis,Seats for motor vehicles,Asientos para vehículos automóviles,Sièges des types utilisés pour les véhicules automobiles
94013010,"Assentos giratórios de altura ajustável, de madeira","Swivel seats with variable height adjustment,of wood","Asientos giratorios, de altura ajustab.de madera","Sièges pivotants, ajustables en hauteur, bois"
94013090,"Assentos giratórios de altura ajustável, de outras matérias",Swivel seats with variab.height adjustm.of oth.material,"Asientos giratorios, de altura ajustab.de dem.materias","Sièges pivotants, ajustables en hauteur, d'autres matières"
94014010,"Assentos (exceto de jardim ou de acampamento) transformáveis em camas, de madeira","Seats convertible into beds, of wood","Asientos transformables en cama, de madera","Sièges transformables en lits, en bois"
94014090,"Assentos (exceto de jardim ou de acampamento) transformáveis em camas, de outras matérias","Seats convertible into beds,of oth.materials","Asientos transformables en cama, de dem.materias","Sièges transformables en lits, d'autres matières"
94015000,"Assentos de cana, vime, bambu ou de matérias semelhantes","Seats of cane,osier,bamboo or similar materials","Asientos de roten, mimbre, bambú o materias similares","Sièges en rotin, en osier, en bambou ou en matières similaires"
94015100,Assentos de bambu ou de rotim,"Seats of rattan, bamboo or similar materials","Asientos de ratán, bambú o materias similares","Sièges de rotin, le bambou, matériaux similaires"
94015200,Assentos de bambu,Bamboo seats,Asientos de bambú,Sièges en bambou
94015300,Assentos de rotim,Rattan seats,Asientos de mimbre,Sièges en rotin
94015900,Assentos de vime ou matérias semelhantes,"Other seats of rattan, bamboo or similar materials","Otros asientos de ratán, bambú o materias similares",Sièges en osier ou des matériaux similaires
94016100,"Assentos estofados, com armação de madeira","Upholstered seats, with wooden frames","Asientos con relleno, con armazón de madera","Sièges rembourrés, avec bâti en bois"
94016900,Outros assentos com armação de madeira,"Other seats, with wooden frames",Los demás asientos con armazón de madera,"Autres sièges, avec bâti en bois"
94017100,"Assentos estofados, com armação de metal","Upholstered seats, with metal frames","Asientos con relleno, con armazón de metal","Sièges rembourrés, avec bâti en métal"
94017900,Outros assentos com armação de metal,"Other seats, with metal frames",Los demás asientos con armazón de metal,"Autres sièges, avec bâti en métal"
94018000,Outros assentos,Other seats,Los demás asientos,Autres sièges
94019010,"Partes para assentos, de madeira","Parts for seats, of wood","Partes para asientos, de madera","Pièces pour sièges, bois"
94019090,"Partes para assentos, de outras matérias","Parts for seats, of other materials","Partes para asientos, de demás materias","Pièces pour sièges, d'autres matières"
94021000,"Cadeiras de dentista, cadeiras para salões de cabeleireiro e cadeiras semelhantes, e suas partes","Dentists', barbers', or similar chairs and parts thereof","Sillones de dentista/de peluquería, etc.sus partes","Chaises pour: dentiste, coiffeur et sièges similaires, et leurs parties"
94029010,Mesas de operação cirúrgica,Tables for surgical operation,Tablas para la intervención quirúrgica,Tables pour interventions chirurgicales
94029020,Camas dotadas de mecanismos para usos clínicos,Hospital beds with mechanical fittings,Camas con mecanismos p/uso clínico,Lits avec mécanismes pour une utilisation clinique
94029090,"Outros mobiliários para medicina, cirurgia, odontologia, etc.","Other furnitures for medicine,surgery,dentistry,etc.","Los dem.mobiliarios p/medicina, cirugía, odontología, etc","Autres meubles à médical, chirurgical, dentaire, etc."
94031000,"Móveis de metal, do tipo utilizado em escritórios",Metal furniture for offices,Muebles de metal para oficinas,Meubles en métal pour bureaux
94032000,Outros móveis de metal,Other metal furniture,Los demás muebles de metal,Autres meubles en métal
94033000,"Móveis de madeira, do tipo utilizado em escritórios",Wooden furniture for offices,Muebles de madera para oficinas,Meubles en bois pour bureaux
94034000,"Móveis de madeira, do tipo utilizado em cozinhas",Wooden furniture for kitchen,Muebles de madera para cocinas,Meubles en bois pour la cuisine
94035000,"Móveis de madeira, do tipo utilizado em quartos de dormir",Wooden furniture for bedroom,Muebles de madera para dormitorios,Meubles en bois pour la chambre à coucher
94036000,Outros móveis de madeira,Other wooden furniture,Los demás muebles de madera,Autres meubles en bois
94037000,Móveis de plásticos,Furniture of plastics,Muebles de plásticos,Meubles en matières plastiques
94038000,"Móveis de outras matérias, inclusive rotim, vime, bambu, etc.","Furniture of oth.materials,incl.cane,osier,bamboo,etc.","Muebles de otras materias, incl.roten, mimbre, bambú, etc","Meubles en autres matières, y compris le rotin, l'osier, le bambou, etc."
94038100,Movéis de bambu ou de rotim,Bamboo furniture,Muebles de bamboo o ratán,Meubles en bambou ou en rotin
94038200,Móveis de bambu,Bamboo furniture,Muebles de bambú,Les meubles en bambou
94038300,Móveis de rotim,Rattan furniture,Muebles de mimbre,Les meubles en rotin
94038900,Móveis de vime ou de matérias semelhantes,"Furniture of oth.materials,incl.rattan,osier,bamboo,simil. mat.","Muebles de otras materias, incl.ratán, mimbre, bambú y simil.","Meubles en autres matières, y compris le rotin, l'osier, le bambou, similaires"
94039010,"Partes para móveis, de madeira",Parts for wooden furniture,"Partes para muebles, de madera","Pièces pour meubles, bois"
94039090,"Partes para móveis, de outras matérias","Parts for furniture, of other materials","Partes para muebles, de otras materias","Pièces pour meubles, d'autres matières"
94041000,Suportes para camas (somiês),Mattress supports,Somieres,Support élastique pour les lits
94042100,"Colchões de borracha alveolar ou de plásticos alveolares, mesmo recobertos","Rubber mattresses/alveolar plastics, including covered ones","Colchones de caucho/plásticos alveolares,  incluso cubiertos","Matelas en caoutchouc/plastiques alvéolaires, même couverte"
94042900,Colchões de outras matérias,Mattresses of other materials,Colchones de otras materias,Matelas d'autres matériaux
94043000,Sacos de dormir,Sleeping bags,Sacos de dormir,Sacs de couchage
